Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1925,739.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,25.713,100.422,1925,5000.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1925,80.0
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,34.25,-119.41,1925,13.0
Meteorological,Storm,Tropical cyclone,TKL,Tokelau,Polynesia,Oceania,,,1925,
Hydrological,Flood,Flood (General),DFR,Germany Federal Republic,Western Europe,Europe,,,1925,
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,41.2,42.8,1925,200.0
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,9.782,123.064,1925,17.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.423,135.007,1925,395.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,38.0,30.5,1925,3.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,27.0,100.0,1925,12.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,34.6,58.1,1925,500.0
Biological,Epidemic,Viral disease,IND,India,Southern Asia,Asia,,,1926,423000.0
Hydrological,Flood,Flood (General),ROU,Romania,Eastern Europe,Europe,,,1926,1000.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1926,25.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1926,
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1926,2700.0
Hydrological,Flood,Flood (General),DFR,Germany Federal Republic,Western Europe,Europe,,,1926,
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,1926,
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1926,
Meteorological,Storm,Storm (General),PAK,Pakistan,Southern Asia,Asia,,,1926,
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1926,243.0
Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,,,1926,600.0
Hydrological,Mass movement (wet),Landslide (wet),COL,Colombia,Latin America and the Caribbean,Americas,,,1926,100.0
Geophysical,Earthquake,Ground movement,EGY,Egypt,Northern Africa,Africa,30.03,31.15,1926,12.0
Geophysical,Volcanic activity,Ash fall,JPN,Japan,Eastern Asia,Asia,,,1926,144.0
Hydrological,Mass movement (wet),Mudslide,FRA,France,Western Europe,Europe,,,1926,28.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.632,135.013,1927,3022.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1927,246.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,37.645,102.489,1927,40912.0
Geophysical,Earthquake,Ground movement,JOR,Jordan,Western Asia,Asia,31.922,35.633,1927,268.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1927,56.0
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,1927,5000.0
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1927,87.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1927,629.0
Hydrological,Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,,,1927,3000.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-0.842,120.764,1927,50.0
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,38.0,23.44,1928,103.0
Geophysical,Earthquake,Ground movement,CHL,Chile,Latin America and the Caribbean,Americas,-35.28,-71.4,1928,220.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,38.25,27.1,1928,50.0
Geophysical,Earthquake,Ground movement,ROU,Romania,Eastern Europe,Europe,,,1928,
Geophysical,Earthquake,Ground movement,BGR,Bulgaria,Eastern Europe,Europe,,,1928,107.0
Meteorological,Storm,Hail,ROU,Romania,Eastern Europe,Europe,,,1928,6.0
Meteorological,Storm,Tornado,POL,Poland,Eastern Europe,Europe,,,1928,82.0
Geophysical,Earthquake,Tsunami,IDN,Indonesia,South-eastern Asia,Asia,-8.3,121.7,1928,128.0
Meteorological,Storm,Tropical cyclone,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,1928,300.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1928,1836.0
Meteorological,Storm,Tropical cyclone,GLP,Guadeloupe,Latin America and the Caribbean,Americas,,,1928,2000.0
Meteorological,Storm,Tropical cyclone,MSR,Montserrat,Latin America and the Caribbean,Americas,,,1928,
Meteorological,Storm,Tropical cyclone,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Americas,,,1928,
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1928,36.0
Hydrological,Flood,Flood (General),BEL,Belgium,Western Europe,Europe,,,1928,
Geophysical,Earthquake,Tsunami,CAN,Canada,Northern America,Americas,48.6,-58.0,1928,27.0
Climatological,Drought,Drought,CHN,China,Eastern Asia,Asia,,,1928,3000000.0
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",MEX,Mexico,Latin America and the Caribbean,Americas,,,1929,60.0
Meteorological,Storm,Hail,DFR,Germany Federal Republic,Western Europe,Europe,,,1929,
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1929,
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,37.8,57.8,1929,3253.0
Geophysical,Earthquake,Ground movement,NZL,New Zealand,Australia and New Zealand,Oceania,-41.55,172.25,1929,17.0
Biological,Infestation,Locust infestation,NER,Niger,Sub-Saharan Africa,Africa,,,1930,
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1930,1369.0
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,17.86,96.43,1930,500.0
Meteorological,Storm,Hail,GRC,Greece,Southern Europe,Europe,,,1930,22.0
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,40.922,15.377,1930,1883.0
Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,1930,2000.0
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,35.05,139.129,1930,259.0
Meteorological,Storm,Storm (General),BEL,Belgium,Western Europe,Europe,,,1930,60.0
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,18.233,96.298,1930,36.0
Meteorological,Storm,Tropical cyclone,DMA,Dominica,Latin America and the Caribbean,Americas,,,1930,2000.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,38.087,44.781,1930,1360.0
Hydrological,Mass movement (wet),Landslide (wet),FRA,France,Western Europe,Europe,,,1930,40.0
Geophysical,Earthquake,Ground movement,NIC,Nicaragua,Latin America and the Caribbean,Americas,12.1,-86.2,1930,1000.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,26.8,103.0,1930,42.0
Geophysical,Earthquake,Ground movement,MMR,Myanmar,South-eastern Asia,Asia,17.4,95.5,1930,50.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,30.0,100.0,1930,200.0
Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,38.4,68.5,1930,151.0
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,43.667,13.267,1930,18.0
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,40.5,19.5,1930,35.0
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,40.3,19.6,1930,25.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.261,120.277,1930,4.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.2,120.6,1930,
Geophysical,Earthquake,Ground movement,NIC,Nicaragua,Latin America and the Caribbean,Americas,13.2,-85.7,1931,1000.0
Geophysical,Earthquake,Ground movement,NZL,New Zealand,Australia and New Zealand,Oceania,-39.659,176.42,1931,256.0
Hydrological,Mass movement (wet),Landslide (wet),ECU,Ecuador,Latin America and the Caribbean,Americas,,,1931,190.0
Meteorological,Storm,Tropical cyclone,FJI,Fiji,Melanesia,Oceania,,,1931,200.0
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1931,3700000.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1931,
Meteorological,Storm,Tropical cyclone,BLZ,Belize,Latin America and the Caribbean,Americas,,,1931,1500.0
Meteorological,Storm,Tropical cyclone,HND,Honduras,Latin America and the Caribbean,Americas,,,1931,1500.0
Geophysical,Earthquake,Tsunami,SLB,Solomon Islands,Melanesia,Oceania,11.117,161.11,1931,50.0
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1931,1300.0
Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,40.6,20.8,1931,90.0
Geophysical,Earthquake,Ground movement,ARM,Armenia,Western Asia,Asia,39.2,46.0,1931,2890.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,46.817,89.915,1931,10000.0
Climatological,Drought,Drought,CAN,Canada,Northern America,Americas,,,1931,
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1932,40.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1932,147.0
Meteorological,Storm,Tropical cyclone,PRI,Puerto Rico,Latin America and the Caribbean,Americas,,,1932,225.0
Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,,,1932,2500.0
Biological,Epidemic,Bacterial disease,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1932,16.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,0.5,126.0,1932,6.0
Hydrological,Mass movement (wet),Landslide (wet),FRA,France,Western Europe,Europe,,,1932,30.0
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1932,332.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,36.6,53.4,1932,1070.0
Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,19.5,-104.25,1932,400.0
Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,19.0,-104.5,1932,
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-3.57,128.35,1932,
Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,40.5,23.9,1932,151.0
Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,39.224,144.622,1933,3000.0
Hydrological,Flood,Riverine flood,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1933,53.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1933,40.0
Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,33.62,117.97,1933,116.0
Meteorological,Storm,Tropical cyclone,TTO,Trinidad and Tobago,Latin America and the Caribbean,Americas,,,1933,13.0
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1933,10.0
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,1933,18000.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,31.9,103.4,1933,10000.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,29.5,102.5,1933,200.0
Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,42.0,14.2,1933,10.0
Climatological,Drought,Drought,USA,United States of America,Northern America,Americas,,,1933,
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,1934,500.0
Geophysical,Earthquake,Ground movement,ROU,Romania,Eastern Europe,Europe,,,1934,
Meteorological,Storm,Tropical cyclone,SLV,El Salvador,Latin America and the Caribbean,Americas,,,1934,2000.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1934,3006.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1934,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1934,85.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,37.919,40.211,1934,100.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,37.919,40.211,1934,20.0
Biological,Epidemic,Bacterial disease,UGA,Uganda,Sub-Saharan Africa,Africa,,,1935,2000.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,24.3,124.3,1935,3276.0
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,29.5,66.8,1935,60000.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,24.6,120.8,1935,2746.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1935,408.0
Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,,,1935,35.0
Meteorological,Storm,Tropical cyclone,BHS,Bahamas,Latin America and the Caribbean,Americas,,,1935,14.0
Meteorological,Storm,Tropical cyclone,JAM,Jamaica,Latin America and the Caribbean,Americas,,,1935,
Meteorological,Storm,Tropical cyclone,HTI,Haiti,Latin America and the Caribbean,Americas,,,1935,2150.0
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1935,100.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1935,60000.0
Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,Asia,,,1935,142000.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,36.3,53.3,1935,60.0
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,36.3,53.5,1935,690.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.3,40.6,1935,540.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,28.7,103.6,1935,100.0
Hydrological,Mass movement (wet),Landslide (wet),NOR,Norway,Northern Europe,Europe,,,1936,73.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1936,200.0
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1936,455.0
Meteorological,Storm,Tropical cyclone,MMR,Myanmar,South-eastern Asia,Asia,,,1936,1000.0
Meteorological,Extreme temperature,Heat wave,USA,United States of America,Northern America,Americas,,,1936,1193.0
Meteorological,Extreme temperature,Heat wave,CAN,Canada,Northern America,Americas,,,1936,500.0
Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,Asia,,,1936,1104.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1936,517.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1936,233.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,3.5,97.5,1936,17.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,6.1,94.7,1936,9.0
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,1.1,-77.6,1936,
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,35.4,103.4,1936,
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,4.5,126.5,1936,
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,33.0,60.0,1936,12.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,34.2,105.7,1936,115.0
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,1.2,-77.3,1936,18.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,26.6,103.0,1936,30.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,22.3,120.8,1936,10.0
Geophysical,Earthquake,Ground movement,SLV,El Salvador,Latin America and the Caribbean,Americas,13.2,-88.7,1936,400.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1937,137.0
Geophysical,Volcanic activity,Ash fall,PNG,Papua New Guinea,Melanesia,Oceania,,,1937,506.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1937,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1937,231.0
Hydrological,Flood,Flood (General),JAM,Jamaica,Latin America and the Caribbean,Americas,,,1937,111.0
Geophysical,Mass movement (dry),Landslide (dry),JAM,Jamaica,Latin America and the Caribbean,Americas,,,1937,40.0
Meteorological,Storm,Tropical cyclone,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,1937,11000.0
Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,18.8,-97.5,1937,34.0
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,35.259,115.184,1937,390.0
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,14.575,121.68,1937,1.0
Hydrological,Mass movement (wet),Landslide (wet),USA,United States of America,Northern America,Americas,,,1938,200.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,39.508,33.872,1938,149.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1938,600.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1938,305.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-0.557,118.881,1938,
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1938,933.0
